Hours per Week,Age,Workclass,Highest Degree,Marital Status,Race,Gender,Native Country,Occupation,Income Actual,Income Adjust,Income,ML Pred
40,18,Private,Less than High School,Never Married,White,Male,United States,Other Services,1500,2550.167224,0,0
35,21,Private,High School Graduate,Never Married,White,Male,United States,Tech Support,3030,5151.337793,0,0
40,26,Private,Undergraduate Degree,Never Married,White,Female,United States,Sales,29001,49304.93311,0,0
38,62,Private,High School Graduate,Widowed,White,Female,United States,Administrative/Clerical,18002,30605.40691,0,0
16,22,Private,Undergraduate Degree,Never Married,White,Female,United States,Sales,3000,5100.334448,0,0
40,38,Private,High School Graduate,Divorced,White,Female,United States,Machine Operator/Inspector,17000,28901.89521,0,0
40,51,Self Employed (Unincorporated),High School Graduate,Divorced,White,Male,United States,Craft/Repair,20500,34852.2854,0,0
60,32,Private,High School Graduate,Never Married,White,Male,United States,Transport/Moving,28000,47603.12152,0,0
20,21,Private,High School Graduate,Never Married,White,Male,United States,Professional Specialty,10100,17171.12598,0,0
40,21,Private,Less than High School,Never Married,White,Male,United States,Transport/Moving,2400,4080.267559,0,0
40,36,Private,High School Graduate,Divorced,Black,Female,United States,Administrative/Clerical,28059,47703.42809,0,0
40,33,Local Government,High School Graduate,Married,Native American/Eskimo,Male,United States,Other Services,27280,46379.04125,0,0
40,27,Private,Less than High School,Never Married,White,Male,Guatemala,Handler/Cleaner,10000,17001.11483,0,0
30,32,Private,High School Graduate,Divorced,White,Female,United States,Professional Specialty,12157,20668.2553,0,0
52,20,Private,High School Graduate,Never Married,Black,Male,United States,Other Services,12354,21003.17726,0,0
15,17,Private,Less than High School,Never Married,White,Female,United States,Sales,4364,7419.286511,0,0
40,48,Private,High School Graduate,Divorced,White,Female,United States,Administrative/Clerical,17079,29036.20401,0,0
50,24,Private,Undergraduate Degree,Never Married,White,Male,Taiwan,Tech Support,13615,23147.01784,0,0
50,59,Private,Less than High School,Never Married,Black,Male,United States,Other Services,24000,40802.67559,0,0
50,20,Private,High School Graduate,Never Married,White,Male,United States,Other Services,16010,27218.78484,0,0
40,61,Private,Less than High School,Divorced,White,Male,United States,Other Services,8000,13600.89186,0,0
40,36,Private,High School Graduate,Divorced,White,Male,United States,Craft/Repair,20400,34682.27425,0,0
8,20,Private,High School Graduate,Never Married,White,Male,United States,Other Services,1800,3060.200669,0,0
40,35,Private,High School Graduate,Never Married,White,Female,Iran,Machine Operator/Inspector,7578,12883.44482,0,0
40,19,Private,High School Graduate,Never Married,White,Male,United States,Transport/Moving,3700,6290.412486,0,0
84,35,Self Employed (Unincorporated),Less than High School,Divorced,White,Female,United States,Executive/Managerial,4500,7650.501672,0,0
40,29,Private,Undergraduate Degree,Never Married,Asian/Pacific Islander,Male,Taiwan,Professional Specialty,24050,40887.68116,0,0
80,35,Private,Less than High School,Widowed,White,Female,United States,Other Services,7000,11900.78038,0,0
40,34,Self Employed (Unincorporated),Less than High School,Married,Other,Male,Guatemala,Craft/Repair,16715,28417.36343,0,0
46,43,Private,High School Graduate,Never Married,White,Female,United States,Craft/Repair,20100,34172.2408,0,0
40,33,Private,Undergraduate Degree,Never Married,White,Female,El Salvador,Sales,8000,13600.89186,0,0
40,40,Private,High School Graduate,Divorced,Black,Female,United States,Handler/Cleaner,15000,25501.67224,0,0
85,40,Self Employed (Unincorporated),High School Graduate,Never Married,White,Male,United States,Farming/Fishing,20000,34002.22965,0,0
45,43,Private,High School Graduate,Separated,Black,Female,United States,Handler/Cleaner,20672,35144.70457,0,0
28,18,Private,Less than High School,Never Married,White,Female,United States,Other Services,4002,6803.846154,0,0
40,26,Private,Less than High School,Divorced,White,Male,United States,Handler/Cleaner,28000,47603.12152,0,0
60,22,Private,Undergraduate Degree,Never Married,White,Male,United States,Protective Services,19986,33978.42809,0,0
40,33,Private,High School Graduate,Never Married,White,Male,United States,Craft/Repair,16000,27201.78372,0,0
40,34,Private,High School Graduate,Divorced,White,Female,United States,Handler/Cleaner,21023,35741.4437,0,0
40,25,Private,Undergraduate Degree,Never Married,Black,Female,United States,Administrative/Clerical,12262,20846.767,0,0
40,42,Private,Less than High School,Married (Spouse Absent),White,Male,Puerto Rico,Craft/Repair,12000,20401.33779,0,0
30,23,Private,Graduate Degree,Never Married,White,Female,United States,Professional Specialty,13000,22101.44928,0,0
