Hours per Week,Age,Workclass,Highest Degree,Marital Status,Race,Gender,Native Country,Occupation,Income Actual,Income Adjust,Income,ML Pred,ML Conf
25,19,Private,High School Graduate,Never Married,White,Female,United States,Tech Support,10005,17009.61538,0,0,0.992043641515835
40,33,Private,High School Graduate,Never Married,White,Male,United States,Handler/Cleaner,14416,24508.80713,0,0,0.881879081826254
30,28,Private,High School Graduate,Never Married,White,Female,United States,Other Services,16010,27218.78484,0,0,0.980901414017794
20,22,Private,High School Graduate,Never Married,White,Male,United States,Handler/Cleaner,9600,16321.07023,0,0,0.990793278465753
40,45,Private,Less than High School,Never Married,White,Male,United States,Machine Operator/Inspector,24000,40802.67559,0,0,0.830128204905012
40,36,Private,High School Graduate,Never Married,White,Male,United States,Other Services,25200,42842.80936,0,0,0.891744924491928
20,71,Private,High School Graduate,Widowed,White,Female,United States,Private House Services,3934,6688.238573,0,0,0.972012674885688
15,26,Private,High School Graduate,Never Married,White,Female,United States,Administrative/Clerical,8000,13600.89186,0,0,0.980306622915583
40,62,Private,High School Graduate,Divorced,White,Female,United States,Machine Operator/Inspector,27174,46198.82943,0,0,0.86609754317956
40,29,Private,Less than High School,Married,White,Male,United States,Craft/Repair,17629,29971.26533,0,0,0.566069906575474
40,34,Private,High School Graduate,Never Married,White,Male,United States,Handler/Cleaner,11820,20095.31773,0,0,0.8966366261226
40,32,Private,High School Graduate,Never Married,Black,Female,United States,Machine Operator/Inspector,19000,32302.11817,0,0,0.945044722172793
60,46,Private,High School Graduate,Widowed,White,Female,United States,Administrative/Clerical,22006,37412.65329,0,0,0.616322140795961
40,27,Local Government,High School Graduate,Never Married,Black,Male,United States,Craft/Repair,10400,17681.15942,0,0,0.889331974261207
20,17,Private,Less than High School,Never Married,White,Female,United States,Sales,5000,8500.557414,0,0,0.996989650810094
40,26,Private,High School Graduate,Never Married,Native American/Eskimo,Male,United States,Craft/Repair,16000,27201.78372,0,0,0.904332246896833
