"Hours per Week","Age","Workclass","Highest Degree","Marital Status","Race","Gender","Native Country","Occupation","Income Actual","Income Adjust","Income","ML Pred","ML Conf"
25,22,"Private","High School Graduate","Never Married","Black","Male","United States","Handler/Cleaner",1148,1951.727982,0,0,0.994164340728335
30,19,"Private","High School Graduate","Never Married","Black","Male","United States","Sales",11000,18701.22631,0,0,0.992127849206321
40,17,"Private","Less than High School","Never Married","Black","Male","United States","Other Services",1030,1751.114827,0,0,0.990373381103682
50,40,"Self Employed (Unincorporated)","High School Graduate","Divorced","Black","Male","United States","Executive/Managerial",10000,17001.11483,0,0,0.600074003684142
40,22,"Private","High School Graduate","Never Married","Black","Male","United States","Professional Specialty",11000,18701.22631,0,0,0.936879062166301
4,66,"Private","High School Graduate","Married","Black","Male","United States","Other Services",12690,21574.41472,0,0,0.859727329143227
46,32,"Federal Government","High School Graduate","Separated","Black","Male","United States","Machine Operator/Inspector",22024,37443.2553,0,0,0.632174771932059
45,25,"Private","Undergraduate Degree","Divorced","Black","Female","United States","Administrative/Clerical",9150,15556.02007,0,0,0.769530410563233
40,33,"Federal Government","High School Graduate","Never Married","Black","Female","United States","Executive/Managerial",24100,40972.68673,0,0,0.638562144766593
40,24,"Private","High School Graduate","Divorced","Black","Male","United States","Other Services",8000,13600.89186,0,0,0.960810055864521
40,28,"Private","High School Graduate","Never Married","Black","Female","United States","Administrative/Clerical",15600,26521.73913,0,0,0.924727374291777
20,21,"Private","High School Graduate","Never Married","White","Female","United States","Other Services",1080,1836.120401,0,0,0.992367534565152
40,19,"Private","High School Graduate","Married","White","Male","United States","Sales",22387,38060.39576,0,0,0.796970900615951
40,20,"Private","High School Graduate","Never Married","White","Male","United States","Machine Operator/Inspector",13000,22101.44928,0,0,0.973731199278111
35,20,"Private","High School Graduate","Never Married","White","Female","United States","Sales",8000,13600.89186,0,0,0.989177535364953
20,18,"Private","Less than High School","Never Married","White","Female","United States","Other Services",1500,2550.167224,0,0,0.996802228223391
40,33,"Federal Government","High School Graduate","Divorced","Black","Male","United States","Other Services",13200,22441.47157,0,0,0.798924013308541
40,57,"Private","High School Graduate","Divorced","White","Female","United States","Administrative/Clerical",18192,30928.42809,0,0,0.72085998544104
18,20,"Private","High School Graduate","Never Married","White","Female","United States","Sales",7016,11927.98216,0,0,0.991420344733793
